Time step,No. of infected agents,No. of infected (rand),No. of infected (det)
0,119,37,30
1,119,39,30
2,120,37,30
3,120,29,30
4,126,32,32
5,127,37,33
6,135,43,34
7,144,52,35
8,160,50,41
9,170,48,43
10,175,47,44
11,177,58,45
12,179,48,45
13,183,51,46
14,185,47,46
15,196,54,51
16,200,51,53
17,202,62,53
18,202,58,53
19,202,49,53
20,209,71,54
21,211,61,55
22,219,61,58
23,229,73,63
24,241,63,70
25,252,79,70
26,270,87,78
27,284,85,83
28,292,89,87
29,294,92,87
30,307,79,91
31,311,92,91
32,320,102,96
33,331,106,97
34,346,100,104
35,362,109,107
36,383,110,110
37,417,115,119
38,437,131,128
39,446,117,130
40,456,123,133
41,460,130,134
42,461,127,135
43,465,116,136
44,481,154,139
45,481,150,139
46,484,142,139
47,497,140,141
48,500,145,142
49,507,151,145
50,516,161,147
51,517,164,147
52,517,162,147
53,523,159,147
54,526,153,147
55,530,144,147
56,533,141,149
57,533,140,149
58,539,159,151
59,540,177,152
60,543,154,152
61,547,155,152
62,552,169,154
63,552,175,154
64,554,162,154
65,555,153,155
66,558,179,156
67,559,160,156
68,564,168,157
69,571,177,158
70,573,172,159
71,573,170,159
72,580,168,164
73,594,168,169
74,596,205,170
75,599,165,172
76,601,170,173
77,608,173,174
78,609,182,174
79,609,188,174
80,615,192,175
81,617,170,175
82,620,181,175
83,620,187,175
84,623,173,176
85,626,172,176
86,627,200,176
87,627,170,176
88,628,172,176
89,634,169,178
90,636,181,179
91,646,192,183
92,646,183,183
93,647,174,184
94,648,195,185
95,654,211,188
96,655,196,189
97,656,211,189
98,657,200,189
99,659,185,189
100,547,174,160
101,540,158,159
102,544,167,160
103,544,170,160
104,543,168,160
105,537,157,157
106,532,154,156
107,525,162,155
108,511,168,153
109,503,150,149
110,495,140,148
111,495,149,147
112,499,152,149
113,498,136,149
114,500,158,151
115,492,151,149
116,489,147,147
117,487,141,146
118,488,133,146
119,489,141,146
120,485,144,146
121,514,169,155
122,520,151,153
123,518,153,151
124,514,171,146
125,507,171,143
126,489,152,138
127,478,136,133
128,472,153,130
129,470,149,128
130,467,128,126
131,473,152,129
132,469,139,129
133,464,128,127
134,459,139,125
135,449,123,121
136,431,139,119
137,412,116,116
138,390,109,109
139,370,111,100
140,360,103,98
141,362,110,98
142,359,98,97
143,359,118,96
144,360,119,98
145,351,101,99
146,357,107,101
147,355,113,100
148,351,115,100
149,363,115,109
150,363,97,112
151,368,98,113
152,369,111,114
153,375,114,119
154,376,110,120
155,377,124,122
156,388,108,124
157,398,116,125
158,408,115,129
159,420,112,136
160,436,109,140
161,442,131,143
162,442,132,144
163,443,119,144
164,450,126,145
165,456,130,145
166,462,154,148
167,466,153,150
168,471,134,151
169,480,127,152
170,485,148,154
171,491,145,156
172,491,145,154
173,482,148,150
174,480,171,149
175,486,135,149
176,486,141,147
177,495,155,149
178,490,136,149
179,495,159,150
180,498,138,149
181,503,156,150
182,506,147,151
183,513,180,154
184,518,166,156
185,527,181,158
186,527,168,159
187,531,160,159
188,535,159,160
189,532,164,158
190,536,154,159
191,531,165,157
192,531,154,155
193,539,163,158
194,543,156,159
195,547,155,161
196,550,161,161
197,560,161,165
