Source,Target,Weight
n_0,n_437,119
n_0,n_559,101
n_0,n_683,4
n_0,n_9,21
n_0,n_226,2
n_0,n_650,3
n_0,n_933,1
n_0,n_640,2
n_0,n_360,39
n_0,n_141,18
n_0,n_58,11
n_0,n_471,5
n_0,n_644,1
n_0,n_681,5
n_0,n_105,20
n_0,n_456,20
n_0,n_701,12
n_0,n_474,6
n_0,n_330,37
n_0,n_352,6
n_0,n_536,6
n_0,n_972,1
n_0,n_478,4
n_0,n_7,2
n_0,n_676,2
n_0,n_103,3
n_0,n_603,19
n_0,n_118,55
n_0,n_165,29
n_0,n_227,29
n_0,n_507,1
n_0,n_517,65
n_0,n_610,1
n_0,n_763,60
n_0,n_882,7
n_0,n_144,54
n_0,n_741,47
n_0,n_986,47
n_0,n_22,152
n_0,n_546,3
n_0,n_37,1
n_0,n_347,6
n_0,n_196,2
n_0,n_773,5
n_0,n_428,8
n_0,n_367,1
n_0,n_759,2
n_0,n_19,3
n_0,n_843,3
n_0,n_423,1
n_0,n_460,1
n_0,n_501,1
n_0,n_195,3
n_0,n_252,18
n_0,n_79,148
n_0,n_258,6
n_0,n_695,12
n_0,n_198,1
n_0,n_8,1
n_0,n_65,39
n_0,n_430,29
n_0,n_673,11
n_0,n_149,3
n_0,n_755,6
n_0,n_285,5
n_0,n_656,7
n_0,n_581,3
n_0,n_663,1
n_0,n_183,3
n_0,n_210,1
n_0,n_407,1
n_0,n_577,1
n_0,n_747,1
n_0,n_769,6
n_0,n_48,19
n_0,n_137,2
n_0,n_11,2
n_0,n_214,5
n_0,n_257,7
n_0,n_69,46
n_0,n_448,18
n_0,n_17,5
n_0,n_104,4
n_0,n_978,15
n_0,n_110,1
n_0,n_400,14
n_0,n_531,5
n_0,n_308,2
n_0,n_983,1
n_0,n_901,1
n_0,n_540,2
n_0,n_500,2
n_0,n_910,5
n_0,n_929,9
n_0,n_406,3
n_0,n_415,3
n_0,n_604,10
n_0,n_584,4
n_0,n_461,1
n_0,n_794,2
n_0,n_100,3
n_0,n_790,6
n_0,n_197,2
n_0,n_554,3
n_0,n_884,2
n_0,n_62,1
n_1,n_625,121
n_1,n_332,3
n_1,n_243,116
n_1,n_43,17
n_1,n_647,5
n_1,n_807,23
n_1,n_727,10
n_1,n_786,1
n_1,n_840,4
n_1,n_934,2
n_1,n_240,2
n_1,n_547,10
n_1,n_968,10
n_1,n_213,17
n_1,n_337,26
n_1,n_641,4
n_1,n_875,4
n_1,n_384,20
n_1,n_313,28
n_1,n_489,3
n_1,n_952,3
n_1,n_551,11
n_1,n_595,10
n_1,n_539,13
n_1,n_659,17
n_1,n_405,5
n_1,n_957,7
n_1,n_633,6
n_1,n_631,6
n_1,n_853,2
n_1,n_765,6
n_1,n_255,3
n_1,n_398,2
n_1,n_720,3
n_1,n_894,1
n_1,n_923,1
n_1,n_497,6
n_1,n_412,1
n_1,n_417,3
n_1,n_930,3
n_1,n_259,12
n_1,n_434,2
n_1,n_730,1
n_1,n_750,2
n_1,n_859,1
n_1,n_391,2
n_1,n_447,2
n_1,n_438,1
n_1,n_995,10
n_1,n_693,1
n_1,n_734,2
n_1,n_754,5
n_1,n_348,5
n_1,n_597,1
n_1,n_450,1
n_1,n_883,3
n_1,n_639,2
n_1,n_977,9
n_1,n_838,1
n_1,n_3,1
n_1,n_232,1
n_1,n_267,7
n_1,n_621,3
n_1,n_947,6
n_1,n_296,3
n_1,n_767,4
n_1,n_949,16
n_1,n_650,4
n_1,n_471,21
n_1,n_327,2
n_1,n_24,9
n_1,n_771,4
n_1,n_691,7
n_1,n_630,3
n_1,n_629,3
n_1,n_364,3
n_1,n_795,4
n_1,n_12,5
n_1,n_780,2
n_1,n_234,1
n_1,n_502,4
n_1,n_305,3
n_1,n_32,9
n_1,n_889,2
n_2,n_424,11
n_2,n_738,23
n_2,n_935,92
n_2,n_402,9
n_2,n_841,27
n_2,n_98,6
n_2,n_319,1
n_2,n_994,1
n_2,n_833,17
n_2,n_356,19
n_2,n_390,2
n_2,n_699,3
n_2,n_254,3
n_2,n_580,2
n_2,n_92,1
n_2,n_244,1
n_2,n_37,8
n_2,n_380,1
n_2,n_523,24
n_2,n_958,19
n_2,n_809,1
n_2,n_176,32
n_2,n_47,9
n_2,n_648,32
n_2,n_704,6
n_2,n_437,2
n_2,n_644,5
n_3,n_272,92
n_3,n_926,8
n_3,n_977,8
n_3,n_307,1
n_3,n_798,19
n_3,n_979,2
n_3,n_761,1
n_3,n_621,15
n_3,n_685,3
n_3,n_710,3
n_3,n_931,5
n_3,n_273,8
n_3,n_161,4
n_3,n_800,4
n_3,n_869,10
n_3,n_778,1
n_3,n_862,9
n_3,n_667,4
n_3,n_12,11
n_3,n_46,3
n_3,n_182,3
n_3,n_267,12
n_3,n_296,9
n_3,n_438,3
n_3,n_691,2
n_3,n_265,5
n_3,n_748,34
n_3,n_803,4
n_3,n_369,1
n_3,n_732,5
n_3,n_188,9
n_3,n_164,1
n_3,n_764,3
n_3,n_963,3
n_3,n_883,4
n_3,n_582,3
n_3,n_762,7
n_3,n_232,16
n_3,n_767,7
n_3,n_947,5
n_3,n_765,19
n_3,n_1,1
n_3,n_595,6
n_3,n_659,10
n_3,n_384,2
n_3,n_639,8
n_3,n_519,11
n_3,n_949,3
n_3,n_185,9
n_3,n_193,18
n_3,n_234,4
n_3,n_355,2
n_3,n_318,15
n_3,n_750,3
n_3,n_32,3
n_3,n_917,11
n_3,n_894,10
n_3,n_236,7
n_3,n_524,7
n_3,n_853,7
n_3,n_740,7
n_3,n_865,5
n_3,n_969,2
n_3,n_539,2
n_3,n_802,2
n_3,n_504,2
n_3,n_18,5
n_3,n_930,4
n_3,n_694,7
n_3,n_222,4
n_3,n_570,4
n_3,n_16,1
n_3,n_904,4
n_3,n_107,13
n_3,n_693,2
n_3,n_509,1
n_3,n_605,2
n_4,n_320,1
n_4,n_142,3
n_4,n_572,3
n_4,n_781,3
n_4,n_966,3
n_4,n_88,2
n_4,n_464,9
n_4,n_481,3
n_4,n_297,54
n_4,n_646,1
n_4,n_983,12
n_4,n_480,3
n_4,n_886,4
n_4,n_130,10
n_4,n_386,5
n_4,n_611,4
n_4,n_697,3
n_4,n_866,20
n_4,n_876,3
n_4,n_613,3
n_4,n_28,2
n_4,n_789,8
n_4,n_368,5
n_4,n_218,7
n_4,n_470,12
n_4,n_723,6
n_4,n_825,5
n_4,n_910,6
n_4,n_173,4
n_4,n_228,2
n_4,n_266,2
n_4,n_274,2
n_4,n_92,14
n_4,n_151,4
n_4,n_244,14
n_4,n_421,8
n_4,n_448,5
n_4,n_509,15
n_4,n_512,15
n_4,n_531,5
n_4,n_575,4
n_4,n_620,11
n_4,n_797,5
n_4,n_177,1
n_4,n_441,2
n_4,n_100,2
n_4,n_104,7
n_4,n_528,10
n_4,n_880,13
n_4,n_137,1
n_4,n_241,4
n_4,n_679,12
n_4,n_74,12
n_4,n_234,12
n_4,n_727,13
n_4,n_221,37
n_4,n_657,3
n_4,n_382,1
n_4,n_627,1
n_4,n_973,1
n_4,n_678,50
n_4,n_43,49
n_4,n_622,7
n_4,n_992,1
n_4,n_580,6
n_4,n_704,5
n_4,n_36,1
n_4,n_180,1
n_4,n_401,1
n_4,n_20,7
n_4,n_415,3
n_4,n_253,18
n_4,n_400,7
n_4,n_651,7
n_4,n_140,12
n_4,n_287,1
n_4,n_308,1
n_4,n_737,20
n_4,n_941,7
n_4,n_135,2
n_4,n_901,4
n_4,n_987,3
n_4,n_769,3
n_4,n_156,4
n_4,n_361,1
n_4,n_245,1
n_4,n_854,3
n_4,n_585,1
n_4,n_491,8
n_4,n_502,1
n_4,n_680,7
n_4,n_145,11
n_4,n_815,4
n_4,n_772,135
n_4,n_143,10
n_4,n_247,3
n_4,n_863,8
n_4,n_725,5
n_4,n_988,1
n_4,n_867,27
n_4,n_822,2
n_4,n_812,24
n_4,n_57,2
n_4,n_229,14
n_4,n_178,1
n_4,n_653,6
n_4,n_56,2
n_4,n_685,16
n_4,n_589,1
n_4,n_670,4
n_4,n_711,6
n_4,n_746,8
n_4,n_751,4
n_4,n_818,8
n_4,n_820,5
n_4,n_975,2
n_4,n_937,4
n_4,n_22,7
n_4,n_204,5
n_4,n_285,4
n_4,n_325,1
n_4,n_850,1
n_4,n_967,1
n_4,n_217,2
n_4,n_549,26
n_4,n_134,1
n_4,n_705,10
n_4,n_689,11
n_4,n_616,10
n_4,n_323,15
n_4,n_548,5
n_4,n_660,2
n_4,n_264,7
n_4,n_333,7
n_4,n_827,10
n_4,n_936,1
n_4,n_195,1
n_4,n_752,13
n_4,n_67,3
n_4,n_935,2
n_4,n_390,8
n_4,n_895,1
n_4,n_625,4
n_4,n_422,7
n_4,n_61,3
n_4,n_300,3
n_4,n_397,3
n_4,n_485,2
n_4,n_699,2
n_4,n_362,12
n_4,n_398,1
n_4,n_860,1
n_4,n_957,1
n_4,n_529,3
n_4,n_842,7
n_4,n_332,7
n_4,n_998,11
n_4,n_952,12
n_4,n_810,1
n_4,n_788,8
n_4,n_558,3
n_4,n_609,8
n_4,n_731,1
n_4,n_791,1
n_4,n_321,1
n_4,n_858,2
n_4,n_85,5
n_4,n_311,4
n_4,n_617,4
n_4,n_649,2
n_4,n_718,4
n_4,n_877,2
n_4,n_51,8
n_4,n_633,28
n_4,n_721,2
n_4,n_290,2
n_4,n_484,2
n_4,n_828,2
n_4,n_943,7
n_4,n_970,9
n_4,n_206,1
n_4,n_890,1
n_4,n_950,1
n_4,n_383,5
n_4,n_433,2
n_4,n_835,2
n_4,n_152,6
n_4,n_951,4
n_4,n_146,4
n_4,n_708,4
n_4,n_928,7
n_4,n_641,1
n_4,n_959,1
n_5,n_74,13
n_5,n_886,14
n_5,n_983,2
n_5,n_277,9
n_5,n_661,4
n_5,n_657,7
n_5,n_221,4
n_5,n_24,4
n_5,n_485,60
n_5,n_479,1
n_5,n_493,18
n_5,n_382,15
n_5,n_131,12
n_5,n_377,3
n_5,n_707,3
n_5,n_480,4
n_5,n_332,3
n_5,n_544,2
n_5,n_627,4
n_5,n_973,4
n_5,n_173,9
n_5,n_541,10
n_5,n_426,8
n_5,n_593,8
n_5,n_363,5
n_5,n_838,1
n_5,n_185,4
n_5,n_614,66
n_5,n_82,5
n_5,n_658,11
n_5,n_726,7
n_5,n_266,18
n_5,n_274,21
n_5,n_441,16
n_5,n_570,6
n_5,n_335,119
n_5,n_248,7
n_5,n_934,5
n_5,n_966,113
n_5,n_130,2
n_5,n_469,6
n_5,n_641,6
n_5,n_543,19
n_5,n_870,2
n_5,n_366,3
n_5,n_146,5
n_5,n_280,9
n_5,n_634,1
n_5,n_692,1
n_5,n_178,10
n_5,n_938,1
n_5,n_992,1
n_5,n_214,1
n_5,n_177,4
n_5,n_228,6
n_5,n_305,1
n_5,n_230,1
n_5,n_588,2
n_5,n_454,1
n_5,n_34,1
n_5,n_218,5
n_5,n_725,10
n_5,n_323,9
n_5,n_822,2
n_5,n_234,15
n_5,n_944,15
n_5,n_368,7
n_5,n_502,14
n_5,n_618,1
n_5,n_866,5
n_5,n_43,4
n_5,n_386,4
n_5,n_211,3
n_5,n_854,57
n_5,n_224,2
n_5,n_489,2
n_5,n_647,3
n_5,n_856,3
n_5,n_297,1
n_5,n_204,5
n_5,n_811,1
n_5,n_655,1
n_5,n_316,1
n_5,n_385,1
n_5,n_789,5
n_5,n_678,11
n_5,n_422,28
n_5,n_240,35
n_5,n_512,48
n_5,n_727,34
n_5,n_522,39
n_5,n_321,7
n_5,n_135,6
n_5,n_310,12
n_5,n_342,8
n_5,n_950,8
n_5,n_87,5
n_5,n_92,4
n_5,n_464,2
n_5,n_45,4
n_5,n_379,2
n_5,n_679,6
n_5,n_885,47
n_5,n_718,1
n_5,n_625,1
n_5,n_785,14
n_5,n_964,1
n_5,n_472,1
n_5,n_846,4
n_5,n_494,4
